t,W
1783750914.321467,283.298
1783750914.341607,283.298
1783750914.361754,283.298
1783750914.381891,283.298
1783750914.402026,284.523
1783750914.422165,284.523
1783750914.442309,284.523
1783750914.462448,284.523
1783750914.482582,284.523
1783750914.502776,285.481
1783750914.522919,285.481
1783750914.543059,285.481
1783750914.563173,285.481
1783750914.583314,285.481
1783750914.603463,284.513
1783750914.623608,284.513
1783750914.643836,284.513
1783750914.663973,284.513
1783750914.684117,284.513
1783750914.704262,282.826
1783750914.724401,282.826
1783750914.744538,282.826
1783750914.764757,282.826
1783750914.784887,282.826
1783750914.805023,282.339
1783750914.825139,282.339
1783750914.845279,282.339
1783750914.865405,282.339
1783750914.885536,282.339
1783750914.905638,281.910
1783750914.925798,281.910
1783750914.945886,281.910
1783750914.965971,281.910
1783750914.986052,281.910
1783750915.006178,281.492
1783750915.026328,281.492
1783750915.046468,281.492
1783750915.066626,281.492
1783750915.086766,281.492
1783750915.106913,282.325
1783750915.127056,282.325
1783750915.147190,282.325
1783750915.167327,282.325
1783750915.187469,282.325
1783750915.207613,284.818
1783750915.227771,284.818
1783750915.247907,284.818
1783750915.268048,284.818
1783750915.288194,284.818
1783750915.308331,285.010
1783750915.328469,285.010
1783750915.348631,285.010
1783750915.368779,285.010
1783750915.388918,285.010
1783750915.409055,285.286
1783750915.429192,285.286
1783750915.449335,285.286
1783750915.469477,285.286
1783750915.489610,285.286
1783750915.509753,285.071
1783750915.529899,285.071
1783750915.550040,285.071
1783750915.570177,285.071
1783750915.590315,285.071
1783750915.610458,285.060
1783750915.630598,285.060
1783750915.650774,285.060
1783750915.670913,285.060
1783750915.691056,285.060
1783750915.711198,284.192
1783750915.731335,284.192
1783750915.751471,284.192
1783750915.771611,284.192
1783750915.791774,284.192
1783750915.811916,281.727
1783750915.832025,281.727
1783750915.852157,281.727
1783750915.872277,281.727
1783750915.892384,279.867
1783750915.912488,279.867
1783750915.932597,279.867
1783750915.952710,279.867
1783750915.972858,279.867
1783750915.992964,279.314
1783750916.013072,279.314
1783750916.033184,279.314
1783750916.053293,279.314
1783750916.073396,279.314
1783750916.093502,278.350
1783750916.113619,278.350
1783750916.133778,278.350
1783750916.153890,278.350
1783750916.173999,278.350
1783750916.194113,278.016
1783750916.214226,278.016
1783750916.234332,278.016
1783750916.254438,278.016
1783750916.274580,278.016
1783750916.294764,278.650
1783750916.314902,278.650
1783750916.335038,278.650
1783750916.355204,278.650
1783750916.375351,278.650
1783750916.395490,278.347
1783750916.415625,278.347
1783750916.435765,278.347
1783750916.455910,278.347
1783750916.476051,278.347
1783750916.496186,278.323
1783750916.516322,278.323
1783750916.536466,278.323
1783750916.556610,278.323
1783750916.576810,278.323
1783750916.596952,278.336
1783750916.617101,278.336
1783750916.637269,278.336
1783750916.657405,278.336
1783750916.677544,278.336
1783750916.697687,279.994
1783750916.717870,279.994
1783750916.738010,279.994
1783750916.758148,279.994
1783750916.778291,279.994
1783750916.798437,280.731
1783750916.818577,280.731
1783750916.838713,280.731
1783750916.858894,280.731
1783750916.879042,280.731
1783750916.899163,279.400
1783750916.919298,279.400
1783750916.939435,279.400
1783750916.959587,279.400
1783750916.979776,279.400
1783750916.999910,282.336
1783750917.020049,282.336
1783750917.040194,282.336
1783750917.060352,282.336
1783750917.080484,282.336
1783750917.100619,284.014
1783750917.120799,284.014
