id,model,cp,qty,price,delta,gamma,vega,vega_1pct,theta,theta_1day,rho,mode,receipt_sha256
DSWEEP_BS_C_3p5_p,bs,C,1.00000000000000000e0,9.45118821766265711e1,9.99767370902820751e-1,2.27790174276331518e-5,1.67165945477710021e-1,1.67165945477710013e-3,-2.92664578468967207e0,-8.01820762928677315e-3,9.69976396713966977e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_3p5_p,black76,C,1.00000000000000000e0,9.45118821766265569e1,9.70219779664465709e-1,2.14524721161818225e-5,1.67165956332032489e-1,1.67165956332032488e-3,2.81863986966559343e0,7.72230101278244783e-3,-9.45118821766265569e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_3p5_n,bs,P,1.00000000000000000e0,4.98084253233753955e1,-9.99767370934374178e-1,9.23734590275277173e-5,4.12226094125533599e-2,4.12226094125533614e-4,2.90690049841365905e0,7.96411095455797080e-3,-9.70340919784971589e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_3p5_n,black76,P,1.00000000000000000e0,4.98084253233754026e1,-9.70219779722781173e-1,8.69940432483609074e-5,4.12226073710594346e-2,4.12226073710594343e-4,1.49013049896415617e0,4.08254931223056474e-3,-4.98084253233754026e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_4p0_p,bs,C,1.00000000000000000e0,1.14655764488079015e2,9.99968328758228497e-1,3.16084611370809812e-6,2.83318589616522731e-2,2.83318589616522720e-4,-2.91395915703375019e0,-7.98344974529794499e-3,9.70375323712528228e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_4p0_p,black76,C,1.00000000000000000e0,1.14655764488079001e2,9.70414798333389061e-1,2.97677276600789786e-6,2.83318589616523217e-2,2.83318589616523208e-4,3.43683974874620457e0,9.41599931163343735e-3,-1.14655764488079001e2,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_4p0_n,bs,P,1.00000000000000000e0,5.43031187038904335e1,-9.99968328758406133e-1,1.56557732065790094e-5,5.72010364229647104e-3,5.72010364229647115e-5,2.91072573631395137e0,7.97459105839438791e-3,-9.70432582226060418e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_4p0_n,black76,P,1.00000000000000000e0,5.43031187038904193e1,-9.70414798333766537e-1,1.47440518586701865e-5,5.72010360616789088e-3,5.72010360616789082e-5,1.62852155075609573e0,4.46170287878382404e-3,-5.43031187038904193e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_4p5_p,bs,C,1.00000000000000000e0,1.36920165653537595e2,9.99996602326877260e-1,3.41584480674137764e-7,3.73963095408137236e-3,3.73963095408137226e-5,-2.91168570120157577e0,-7.97722109918239976e-3,9.70437246035389336e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_4p5_p,black76,C,1.00000000000000000e0,1.36920165653537623e2,9.70442236291801708e-1,3.21692149121697119e-7,3.73963095408137280e-3,3.73963095408137293e-5,4.10723100651072048e0,1.12526876890704664e-2,-1.36920165653537623e2,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_4p5_n,bs,P,1.00000000000000000e0,5.83704561750804132e1,-9.99996602326878259e-1,2.06646568677730040e-6,6.18156838884470049e-4,6.18156838884470056e-6,2.91127099787328580e0,7.97608492568023519e-3,-9.70444271185724858e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_4p5_n,black76,P,1.00000000000000000e0,5.83704561750804061e1,-9.70442236291804372e-1,1.94612409272532874e-6,6.18156838582605830e-4,6.18156838582605810e-6,1.75105186956855374e0,4.79740238237959943e-3,-5.83704561750804061e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_5p0_p,bs,C,1.00000000000000000e0,1.61526415445136138e2,9.99999713348428187e-1,2.87487713359097564e-8,3.84422500994233227e-4,3.84422500994233258e-6,-2.91137273325034007e0,-7.97636365274065687e-3,9.70444763666746866e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_5p0_p,black76,C,1.00000000000000000e0,1.61526415445136109e2,9.70445255368770576e-1,2.70745732282984200e-8,3.84422500994448225e-4,3.84422500994448235e-6,4.84575402110398379e0,1.32760384139835180e-2,-1.61526415445136109e2,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_5p0_n,bs,P,1.00000000000000000e0,6.20507788048228903e1,-9.99999713348428187e-1,2.12426284174806369e-7,5.20259280541994319e-5,5.20259280541994370e-7,2.91133110795472927e0,7.97624961083487523e-3,-9.70445436849178407e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_5p0_n,black76,P,1.00000000000000000e0,6.20507788048228832e1,-9.70445255368770576e-1,2.00055540433277258e-7,5.20259280532516902e-5,5.20259280532516918e-7,1.86151816155188121e0,5.10004975767638664e-3,-6.20507788048228832e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_5p25_p,bs,C,1.00000000000000000e0,1.74783630256257879e2,9.99999923950394831e-1,7.59389800096309693e-9,1.12223476677347279e-4,1.12223476677347273e-6,-2.91134717986428670e0,-7.97629364346379849e-3,9.70445319172206524e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_5p25_p,black76,C,1.00000000000000000e0,1.74783630256257823e2,9.70445459746508532e-1,7.15166380900486151e-9,1.12223476677998369e-4,1.12223476677998366e-6,5.24349768534006611e0,1.43657470831234681e-2,-1.74783630256257823e2,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_P_5p25_n,bs,P,1.00000000000000000e0,6.37574450724559796e1,-9.99999923950394831e-1,6.20130613744080018e-8,1.37424861200033176e-5,1.37424861200033183e-7,2.91133515307516255e0,7.97626069335660888e-3,-9.70445509107924806e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_P_5p25_n,black76,P,1.00000000000000000e0,6.37574450724559725e1,-9.70445459746508532e-1,5.84017018212626611e-8,1.37424861199708288e-5,1.37424861199708293e-7,1.91272197792506704e0,5.24033418609607445e-3,-6.37574450724559725e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BS_C_5p5_p,bs,C,1.00000000000000000e0,1.88720558643920867e2,9.99999981010437522e-1,1.88437279391092565e-9,3.07762168273928847e-5,3.07762168273928841e-7,-2.91133950969691568e0,-7.97627262930661850e-3,9.70445477358411068e1,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
DSWEEP_BLA_C_5p5_p,black76,C,1.00000000000000000e0,1.88720558643920867e2,9.70445515120172075e-1,1.77463546543343597e-9,3.07762168287293943e-5,3.07762168287293962e-7,5.66161368169594326e0,1.55112703608108037e-2,-1.88720558643920867e2,gpu,902667a1070b83bff57ac642cf16779d998b5a954c046c450b154237e9e196e2
