t,W
1783748849.482545,113.626
1783748849.507217,113.626
1783748849.527369,113.626
1783748849.547507,113.626
1783748849.567652,113.626
1783748849.587806,118.864
1783748849.607960,118.864
1783748849.628104,118.864
1783748849.648251,118.864
1783748849.668389,118.864
1783748849.688547,120.476
1783748849.708691,120.476
1783748849.728859,120.476
1783748849.748999,120.476
1783748849.769153,120.476
1783748849.789289,123.331
1783748849.809424,123.331
1783748849.829564,123.331
1783748849.849784,123.331
1783748849.869927,123.331
1783748849.890064,127.847
1783748849.910207,127.847
1783748849.930371,127.847
1783748849.950518,127.847
1783748849.970653,127.847
1783748849.990796,128.763
1783748850.010952,128.763
1783748850.031099,128.763
1783748850.051237,128.763
1783748850.071342,128.763
1783748850.091494,135.193
1783748850.111644,135.193
1783748850.131761,135.193
1783748850.151887,135.193
1783748850.172023,135.193
1783748850.192179,139.692
1783748850.212326,139.692
1783748850.232469,139.692
1783748850.252617,139.692
1783748850.272776,139.692
1783748850.292922,145.363
1783748850.313058,145.363
1783748850.333196,145.363
1783748850.353395,145.363
1783748850.373542,145.363
1783748850.393680,151.455
1783748850.413802,151.455
1783748850.433966,151.455
1783748850.454113,151.455
1783748850.474250,151.455
1783748850.494391,151.595
1783748850.514525,151.595
1783748850.534678,151.595
1783748850.554815,151.595
1783748850.574954,151.595
1783748850.595108,151.714
1783748850.615251,151.714
1783748850.635427,151.714
1783748850.655567,151.714
1783748850.675710,151.714
1783748850.695915,152.017
1783748850.716056,152.017
1783748850.736196,152.017
1783748850.756341,152.017
1783748850.776476,152.017
1783748850.796622,151.902
1783748850.816757,151.902
1783748850.836899,151.902
1783748850.857036,151.902
1783748850.877171,151.902
1783748850.897306,151.942
1783748850.917443,151.942
1783748850.937605,151.942
1783748850.957793,151.942
1783748850.977928,151.942
1783748850.998071,151.575
1783748851.018223,151.575
1783748851.038388,151.575
1783748851.058523,151.575
1783748851.078658,151.575
1783748851.098809,151.221
1783748851.118953,151.221
1783748851.139092,151.221
1783748851.159230,151.221
1783748851.179374,151.221
1783748851.199531,151.574
1783748851.219673,151.574
1783748851.239814,151.574
1783748851.259956,151.574
1783748851.280094,151.574
1783748851.300231,151.658
1783748851.320367,151.658
1783748851.340506,151.658
1783748851.360648,151.658
1783748851.380782,151.658
1783748851.400915,151.595
1783748851.421051,151.595
1783748851.441197,151.595
1783748851.461331,151.595
1783748851.481467,151.595
1783748851.501611,151.677
1783748851.521768,151.677
1783748851.541916,151.677
1783748851.562024,151.677
1783748851.582166,151.677
1783748851.602320,151.824
1783748851.622469,151.824
1783748851.642641,151.824
1783748851.662779,151.824
1783748851.682924,151.824
1783748851.703081,151.550
1783748851.723224,151.550
1783748851.743364,151.550
1783748851.763506,151.550
1783748851.783645,151.549
1783748851.803787,151.549
1783748851.823925,151.549
1783748851.844065,151.549
1783748851.864209,151.549
1783748851.884348,151.687
1783748851.904485,151.687
1783748851.924655,151.687
1783748851.944819,151.687
1783748851.964955,151.687
1783748851.985091,152.228
1783748852.005234,152.228
1783748852.025391,152.228
1783748852.045538,152.228
1783748852.065676,152.228
1783748852.085901,152.112
1783748852.106056,152.112
1783748852.126208,152.112
1783748852.146344,152.112
1783748852.166487,152.112
1783748852.186629,152.525
1783748852.206788,152.525
1783748852.226930,152.525
1783748852.247071,152.525
1783748852.267215,152.525
1783748852.287354,152.269
1783748852.307497,152.269
1783748852.327633,152.269
1783748852.347776,152.269
1783748852.367916,152.269
1783748852.388053,152.317
1783748852.408189,152.317
1783748852.428326,152.317
1783748852.448492,152.317
1783748852.468635,152.317
1783748852.488771,152.295
1783748852.508911,152.295
1783748852.529071,152.295
1783748852.549218,152.295
1783748852.569353,152.295
1783748852.589496,152.346
1783748852.609651,152.346
1783748852.629800,152.346
1783748852.649939,152.346
1783748852.670075,152.346
1783748852.690221,152.406
1783748852.710378,152.406
1783748852.730521,152.406
1783748852.750662,152.406
1783748852.770807,152.406
1783748852.790950,152.434
1783748852.811093,152.434
1783748852.831229,152.434
1783748852.851372,152.434
1783748852.871523,152.434
1783748852.891667,152.087
1783748852.911804,152.087
1783748852.931977,152.087
1783748852.952142,152.087
1783748852.972286,152.087
1783748852.992424,152.090
1783748853.012568,152.090
1783748853.032776,152.090
1783748853.052925,152.090
1783748853.073060,152.090
1783748853.093203,152.118
1783748853.113333,152.118
1783748853.133485,152.118
1783748853.153621,152.118
1783748853.173764,152.118
1783748853.193946,151.804
1783748853.214076,151.804
1783748853.234220,151.804
1783748853.254362,151.804
1783748853.274507,151.804
1783748853.294656,152.014
1783748853.314797,152.014
1783748853.334935,152.014
1783748853.355077,152.014
1783748853.375226,152.014
1783748853.395370,152.065
1783748853.415503,152.065
1783748853.435643,152.065
1783748853.455807,152.065
1783748853.475950,152.065
1783748853.496086,151.767
1783748853.516226,151.767
1783748853.536388,151.767
1783748853.556530,151.767
1783748853.576668,151.767
1783748853.596813,151.666
1783748853.616966,151.666
1783748853.637116,151.666
1783748853.657255,151.666
1783748853.677399,151.666
1783748853.697554,151.441
1783748853.717702,151.441
1783748853.737891,151.441
1783748853.758035,151.441
1783748853.778174,151.441
1783748853.798326,151.526
1783748853.818468,151.526
1783748853.838607,151.526
1783748853.858753,151.526
1783748853.878895,151.526
1783748853.899038,151.569
1783748853.919176,151.569
1783748853.939320,151.569
1783748853.959488,151.569
1783748853.979633,151.569
1783748853.999772,151.502
1783748854.019914,151.502
1783748854.040076,151.502
1783748854.060225,151.502
1783748854.080362,151.502
1783748854.100509,151.610
1783748854.120664,151.610
1783748854.140817,151.610
1783748854.160956,151.610
1783748854.181102,151.610
1783748854.201255,151.657
1783748854.221437,151.657
1783748854.241579,151.657
1783748854.261780,151.657
1783748854.281920,151.657
1783748854.302082,151.757
1783748854.322220,151.757
1783748854.342361,151.757
1783748854.362502,151.757
1783748854.382643,151.757
1783748854.402786,151.923
1783748854.422925,151.923
1783748854.443070,151.923
1783748854.463237,151.923
1783748854.483418,151.923
1783748854.503556,151.945
1783748854.523697,151.945
1783748854.543908,151.945
1783748854.564050,151.945
1783748854.584183,151.945
1783748854.604329,152.205
1783748854.624485,152.205
1783748854.644639,152.205
1783748854.664777,152.205
1783748854.684922,152.171
1783748854.705075,152.171
1783748854.725224,152.171
1783748854.745360,152.171
1783748854.765498,152.171
1783748854.785637,151.972
1783748854.805796,151.972
1783748854.825942,151.972
1783748854.846084,151.972
1783748854.866229,151.972
1783748854.886373,152.057
1783748854.906518,152.057
1783748854.926656,152.057
1783748854.946801,152.057
1783748854.966943,152.057
1783748854.987089,152.202
1783748855.007228,152.202
1783748855.027371,152.202
1783748855.047537,152.202
1783748855.067676,152.202
1783748855.087814,151.884
1783748855.107960,151.884
1783748855.128118,151.884
1783748855.148268,151.884
1783748855.168404,151.884
1783748855.188550,152.119
1783748855.208705,152.119
1783748855.228944,152.119
1783748855.249089,152.119
1783748855.269228,152.119
1783748855.289374,152.354
1783748855.309536,152.354
1783748855.329674,152.354
1783748855.349817,152.354
1783748855.369959,152.354
1783748855.390103,152.363
1783748855.410247,152.363
1783748855.430386,152.363
1783748855.450530,152.363
1783748855.470672,152.363
1783748855.490888,152.587
1783748855.511025,152.587
1783748855.531164,152.587
1783748855.551331,152.587
1783748855.571468,152.587
1783748855.591603,152.518
1783748855.611797,152.518
1783748855.631959,152.518
1783748855.652110,152.518
1783748855.672247,152.518
1783748855.692390,152.446
1783748855.712547,152.446
1783748855.732702,152.446
1783748855.752885,152.446
1783748855.773061,152.446
1783748855.793204,152.554
1783748855.813335,152.554
1783748855.833482,152.554
1783748855.853625,152.554
1783748855.873773,152.554
1783748855.893933,152.900
1783748855.914055,152.900
1783748855.934195,152.900
1783748855.954339,152.900
1783748855.974486,152.900
1783748855.994632,152.826
1783748856.014752,152.826
1783748856.034895,152.826
1783748856.055061,152.826
1783748856.075199,152.826
1783748856.095335,153.045
1783748856.115475,153.045
1783748856.135637,153.045
1783748856.155787,153.045
1783748856.175925,153.045
1783748856.196067,153.156
1783748856.216221,153.156
1783748856.236376,153.156
1783748856.256516,153.156
1783748856.276655,153.156
1783748856.296801,153.053
1783748856.316953,153.053
1783748856.337093,153.053
1783748856.357238,153.053
1783748856.377385,153.053
1783748856.397533,152.910
1783748856.417676,152.910
1783748856.437816,152.910
1783748856.457961,152.910
1783748856.478110,152.910
1783748856.498249,152.809
1783748856.518385,152.809
1783748856.538529,152.809
1783748856.558690,152.809
1783748856.578846,152.809
1783748856.598986,152.904
1783748856.619130,152.904
1783748856.639289,152.904
1783748856.659439,152.904
1783748856.679575,152.904
1783748856.699721,152.804
1783748856.719923,152.804
1783748856.740073,152.804
1783748856.760211,152.804
1783748856.780384,152.804
1783748856.800531,153.132
1783748856.820684,153.132
1783748856.840831,153.132
1783748856.860975,153.132
1783748856.881121,153.132
1783748856.901281,152.661
1783748856.921425,152.661
1783748856.941566,152.661
1783748856.961711,152.661
1783748856.981914,152.661
1783748857.002059,152.709
1783748857.022196,152.709
1783748857.042340,152.709
1783748857.062539,152.709
1783748857.082679,152.709
1783748857.102816,152.605
1783748857.122957,152.605
1783748857.143120,152.605
1783748857.163270,152.605
1783748857.183407,152.605
1783748857.203554,152.572
1783748857.223711,152.572
1783748857.243912,152.572
1783748857.264051,152.572
1783748857.284196,152.572
1783748857.304346,152.902
1783748857.324486,152.902
1783748857.344631,152.902
1783748857.364775,152.902
1783748857.384920,152.902
1783748857.405082,152.699
1783748857.425223,152.699
1783748857.445363,152.699
1783748857.465508,152.699
1783748857.485671,152.446
1783748857.505812,152.446
1783748857.525950,152.446
1783748857.546094,152.446
1783748857.566254,152.446
1783748857.586392,152.614
1783748857.606527,152.614
1783748857.626672,152.614
1783748857.647001,152.614
1783748857.667151,152.614
1783748857.687287,152.813
1783748857.707433,152.813
1783748857.727589,152.813
1783748857.747818,152.813
1783748857.767954,152.813
1783748857.788095,152.314
1783748857.808250,152.314
1783748857.828399,152.314
1783748857.848543,152.314
1783748857.868685,152.314
1783748857.888832,152.436
1783748857.908990,152.436
1783748857.929136,152.436
1783748857.949276,152.436
1783748857.969416,152.436
1783748857.989577,152.593
1783748858.009770,152.593
1783748858.029910,152.593
1783748858.050053,152.593
1783748858.070220,152.593
1783748858.090366,152.640
1783748858.110504,152.640
1783748858.130648,152.640
1783748858.150810,152.640
1783748858.170958,152.640
1783748858.191095,152.984
1783748858.211239,152.984
1783748858.231395,152.984
1783748858.251548,152.984
1783748858.271685,152.984
1783748858.291825,152.840
1783748858.311981,152.840
1783748858.332156,152.840
1783748858.352301,152.840
1783748858.372409,152.840
1783748858.392554,152.444
1783748858.412693,152.444
1783748858.432883,152.444
1783748858.453027,152.444
1783748858.473203,152.444
1783748858.493344,152.761
1783748858.513464,152.761
1783748858.533602,152.761
1783748858.553785,152.761
1783748858.573922,152.761
1783748858.594061,152.729
1783748858.614175,152.729
1783748858.634315,152.729
1783748858.654477,152.729
1783748858.674612,152.729
1783748858.694753,152.513
1783748858.714890,152.513
1783748858.735043,152.513
1783748858.755182,152.513
1783748858.775314,152.513
1783748858.795454,152.662
1783748858.815601,152.662
1783748858.835797,152.662
1783748858.855938,152.662
1783748858.876072,152.662
1783748858.896214,152.634
1783748858.916363,152.634
1783748858.936504,152.634
1783748858.956643,152.634
1783748858.976784,152.634
1783748858.996942,152.318
1783748859.017083,152.318
1783748859.037217,152.318
1783748859.057354,152.318
1783748859.077494,152.318
1783748859.097638,152.459
1783748859.117774,152.459
1783748859.137916,152.459
1783748859.158079,152.459
1783748859.178216,152.459
1783748859.198351,152.530
1783748859.218493,152.530
1783748859.238649,152.530
1783748859.258800,152.530
1783748859.278935,152.530
1783748859.299077,152.557
1783748859.319227,152.557
1783748859.339370,152.557
1783748859.359511,152.557
1783748859.379648,152.557
1783748859.399791,153.029
1783748859.419943,153.029
1783748859.440085,153.029
1783748859.460227,153.029
1783748859.480369,153.029
1783748859.500510,152.861
1783748859.520621,152.861
1783748859.540758,152.861
1783748859.560893,152.861
1783748859.581036,152.861
1783748859.601179,152.723
1783748859.621346,152.723
1783748859.641485,152.723
1783748859.661649,152.723
1783748859.681785,152.723
1783748859.701921,152.942
1783748859.722063,152.942
1783748859.742220,152.942
1783748859.762410,152.942
1783748859.782545,152.942
1783748859.802689,152.830
1783748859.822841,152.830
1783748859.842993,152.830
1783748859.863132,152.830
1783748859.883270,152.830
1783748859.903413,152.959
