t,W
1783748087.166861,105.355
1783748087.191873,106.465
1783748087.212009,106.465
1783748087.232133,106.465
1783748087.252276,106.465
1783748087.272416,106.465
1783748087.292557,111.773
1783748087.312697,111.773
1783748087.332881,111.773
1783748087.353014,111.773
1783748087.373151,111.773
1783748087.393281,117.381
1783748087.413418,117.381
1783748087.433558,117.381
1783748087.453690,117.381
1783748087.473828,117.381
1783748087.493976,123.894
1783748087.514112,123.894
1783748087.534247,123.894
1783748087.554385,123.894
1783748087.574532,123.894
1783748087.594670,126.574
1783748087.614806,126.574
1783748087.634944,126.574
1783748087.655093,126.574
1783748087.675236,126.574
1783748087.695372,128.429
1783748087.715508,128.429
1783748087.735655,128.429
1783748087.755795,128.429
1783748087.775935,128.429
1783748087.796073,134.393
1783748087.816216,134.393
1783748087.836364,134.393
1783748087.856507,134.393
1783748087.876646,134.393
1783748087.896785,140.079
1783748087.916938,140.079
1783748087.937078,140.079
1783748087.957212,140.079
1783748087.977351,140.079
1783748087.997506,144.815
1783748088.017648,144.815
1783748088.037783,144.815
1783748088.057921,144.815
1783748088.078077,144.815
1783748088.098219,150.363
1783748088.118354,150.363
1783748088.138489,150.363
1783748088.158637,150.363
1783748088.178779,150.363
1783748088.198917,150.456
1783748088.219056,150.456
1783748088.239202,150.456
1783748088.259344,150.456
1783748088.279480,150.456
1783748088.299619,150.555
1783748088.319793,150.555
1783748088.339941,150.555
1783748088.360079,150.555
1783748088.380217,150.555
1783748088.400359,150.758
1783748088.420505,150.758
1783748088.440647,150.758
1783748088.460781,150.758
1783748088.480923,150.758
1783748088.501078,150.480
1783748088.521219,150.480
1783748088.541354,150.480
1783748088.561492,150.480
1783748088.581646,150.480
1783748088.601788,150.858
1783748088.621906,150.858
1783748088.642046,150.858
1783748088.662198,150.858
1783748088.682335,150.858
1783748088.702471,150.931
1783748088.722612,150.931
1783748088.742760,150.931
1783748088.762902,150.931
1783748088.783039,150.931
1783748088.803179,150.760
1783748088.823322,150.760
1783748088.843467,150.760
1783748088.863621,150.760
1783748088.883759,150.760
1783748088.903900,150.938
1783748088.924050,150.938
1783748088.944192,150.938
1783748088.964327,150.938
1783748088.984468,150.938
1783748089.004622,150.928
1783748089.024762,150.928
1783748089.044896,150.928
1783748089.065031,150.928
1783748089.085183,150.838
1783748089.105323,150.838
1783748089.125489,150.838
1783748089.145628,150.838
1783748089.165776,150.838
1783748089.185918,150.971
1783748089.206054,150.971
1783748089.226194,150.971
1783748089.246342,150.971
1783748089.266483,150.971
1783748089.286620,151.096
1783748089.306762,151.096
1783748089.326904,151.096
1783748089.347032,151.096
1783748089.367175,151.096
1783748089.387313,150.910
1783748089.407459,150.910
1783748089.427610,150.910
1783748089.447753,150.910
1783748089.467889,150.910
1783748089.488000,150.988
1783748089.508157,150.988
1783748089.528299,150.988
1783748089.548418,150.988
1783748089.568557,150.988
1783748089.588714,150.748
1783748089.608928,150.748
1783748089.629067,150.748
1783748089.649210,150.748
1783748089.669366,150.748
1783748089.689511,150.741
1783748089.709645,150.741
1783748089.729767,150.741
1783748089.749918,150.741
1783748089.770079,150.741
1783748089.790213,150.832
1783748089.810351,150.832
1783748089.830492,150.832
1783748089.850640,150.832
1783748089.870781,150.832
1783748089.890917,150.549
1783748089.911058,150.549
1783748089.931206,150.549
1783748089.951346,150.549
1783748089.971478,150.549
1783748089.991617,150.388
1783748090.011758,150.388
1783748090.031890,150.388
1783748090.052021,150.388
1783748090.072158,150.388
1783748090.092301,150.282
1783748090.112442,150.282
1783748090.132579,150.282
1783748090.152717,150.282
1783748090.172905,150.282
1783748090.193046,150.208
1783748090.213181,150.208
1783748090.233328,150.208
1783748090.253476,150.208
1783748090.273615,150.208
1783748090.293753,150.567
1783748090.313893,150.567
1783748090.334033,150.567
1783748090.354167,150.567
1783748090.374302,150.567
1783748090.394411,149.963
1783748090.414574,149.963
1783748090.434718,149.963
1783748090.454894,149.963
1783748090.475029,149.963
1783748090.495170,150.327
1783748090.515319,150.327
1783748090.535455,150.327
1783748090.555586,150.327
1783748090.575722,150.327
1783748090.595925,150.240
1783748090.616066,150.240
1783748090.636203,150.240
1783748090.656344,150.240
1783748090.676473,150.240
1783748090.696615,150.429
1783748090.716752,150.429
1783748090.736886,150.429
1783748090.757036,150.429
1783748090.777181,150.429
1783748090.797316,150.472
1783748090.817456,150.472
1783748090.837599,150.472
1783748090.857792,150.472
1783748090.877959,150.472
1783748090.898096,150.473
1783748090.918235,150.473
1783748090.938382,150.473
1783748090.958521,150.473
1783748090.978656,150.473
1783748090.998796,151.012
1783748091.018942,151.012
1783748091.039081,151.012
1783748091.059214,151.012
1783748091.079353,151.012
1783748091.099506,150.973
1783748091.119645,150.973
1783748091.139779,150.973
1783748091.159918,150.973
1783748091.180066,150.973
1783748091.200204,150.987
1783748091.220339,150.987
1783748091.240477,150.987
1783748091.260626,150.987
1783748091.280768,150.987
1783748091.300902,150.355
1783748091.321040,150.355
1783748091.341186,150.355
1783748091.361332,150.355
1783748091.381471,150.355
1783748091.401609,150.516
1783748091.421752,150.516
1783748091.441899,150.516
1783748091.462039,150.516
1783748091.482174,150.516
1783748091.502315,150.728
1783748091.522467,150.728
1783748091.542604,150.728
1783748091.562778,150.728
1783748091.582918,150.728
1783748091.603059,150.567
1783748091.623201,150.567
1783748091.643337,150.567
1783748091.663479,150.567
1783748091.683631,150.567
1783748091.703802,150.234
1783748091.723938,150.234
1783748091.744077,150.234
1783748091.764226,150.234
1783748091.784367,150.234
1783748091.804504,150.254
1783748091.824642,150.254
1783748091.844786,150.254
1783748091.864934,150.254
1783748091.885075,150.254
1783748091.905212,150.342
1783748091.925359,150.342
1783748091.945508,150.342
1783748091.965650,150.342
1783748091.985788,150.257
1783748092.005929,150.257
1783748092.026087,150.257
1783748092.046227,150.257
1783748092.066363,150.257
1783748092.086506,149.519
1783748092.106664,149.519
1783748092.126805,149.519
1783748092.146942,149.519
1783748092.167110,149.519
1783748092.187267,149.758
1783748092.207407,149.758
1783748092.227545,149.758
1783748092.247687,149.758
1783748092.267841,149.758
1783748092.287984,150.339
1783748092.308125,150.339
1783748092.328267,150.339
1783748092.348418,150.339
1783748092.368565,150.339
1783748092.388702,150.308
1783748092.408891,150.308
1783748092.429037,150.308
1783748092.449186,150.308
1783748092.469326,150.308
1783748092.489463,150.231
1783748092.509603,150.231
1783748092.529760,150.231
1783748092.549897,150.231
1783748092.570033,150.231
1783748092.590175,150.378
1783748092.610307,150.378
1783748092.630445,150.378
1783748092.650580,150.378
1783748092.670717,150.378
1783748092.690913,150.482
1783748092.711052,150.482
1783748092.731190,150.482
1783748092.751331,150.482
1783748092.771484,150.482
1783748092.791630,150.489
1783748092.811767,150.489
1783748092.831909,150.489
1783748092.852058,150.489
1783748092.872194,150.489
1783748092.892334,150.903
1783748092.912476,150.903
1783748092.932623,150.903
1783748092.952776,150.903
1783748092.972949,150.903
1783748092.993086,151.023
1783748093.013229,151.023
1783748093.033373,151.023
1783748093.053516,151.023
1783748093.073652,151.023
1783748093.093794,151.534
1783748093.113951,151.534
1783748093.134093,151.534
1783748093.154229,151.534
1783748093.174370,151.534
1783748093.194527,151.477
1783748093.214664,151.477
1783748093.234801,151.477
1783748093.254942,151.477
1783748093.275092,151.477
1783748093.295231,151.754
1783748093.315370,151.754
1783748093.335509,151.754
1783748093.355657,151.754
1783748093.375801,151.754
1783748093.395908,151.574
1783748093.416013,151.574
1783748093.436163,151.574
1783748093.456339,151.574
1783748093.476479,151.574
1783748093.496618,151.598
1783748093.516757,151.598
1783748093.536896,151.598
1783748093.557038,151.598
1783748093.577174,151.598
1783748093.597315,151.767
1783748093.617467,151.767
1783748093.637606,151.767
1783748093.657783,151.767
1783748093.677925,151.767
1783748093.698081,151.118
1783748093.718222,151.118
1783748093.738359,151.118
1783748093.758501,151.118
1783748093.778656,151.118
1783748093.798802,151.083
1783748093.818939,151.083
1783748093.839081,151.083
1783748093.859233,151.083
1783748093.879376,151.083
1783748093.899516,150.996
1783748093.919658,150.996
1783748093.939805,150.996
1783748093.959956,150.996
1783748093.980098,150.996
1783748094.000237,151.168
1783748094.020380,151.168
1783748094.040524,151.168
1783748094.060666,151.168
1783748094.080804,151.168
1783748094.100948,151.023
1783748094.121104,151.023
1783748094.141240,151.023
1783748094.161378,151.023
1783748094.181518,151.023
1783748094.201674,151.152
1783748094.221815,151.152
1783748094.241952,151.152
1783748094.262120,151.152
1783748094.282272,151.152
1783748094.302413,151.037
1783748094.322549,151.037
1783748094.342690,151.037
1783748094.362842,151.037
1783748094.382983,151.037
1783748094.403123,151.012
1783748094.423265,151.012
1783748094.443409,151.012
1783748094.463560,151.012
1783748094.483697,151.012
1783748094.503884,150.866
1783748094.524029,150.866
1783748094.544169,150.866
1783748094.564310,150.866
1783748094.584447,150.866
1783748094.604591,150.635
1783748094.624786,150.635
1783748094.644926,150.635
1783748094.665061,150.635
1783748094.685202,150.635
1783748094.705355,150.872
1783748094.725497,150.872
1783748094.745661,150.872
1783748094.765805,150.872
1783748094.785959,150.872
1783748094.806100,150.876
1783748094.826235,150.876
1783748094.846378,150.876
1783748094.866529,150.876
1783748094.886675,151.025
1783748094.906813,151.025
1783748094.926955,151.025
1783748094.947100,151.025
1783748094.967251,151.025
1783748094.987393,150.631
1783748095.007534,150.631
1783748095.027678,150.631
1783748095.047827,150.631
1783748095.067969,150.631
1783748095.088103,150.690
1783748095.108247,150.690
1783748095.128398,150.690
1783748095.148535,150.690
1783748095.168672,150.690
1783748095.188812,150.872
1783748095.208961,150.872
1783748095.229103,150.872
1783748095.249241,150.872
1783748095.269447,150.872
1783748095.289599,150.770
1783748095.309783,150.770
1783748095.330040,150.770
1783748095.350182,150.770
1783748095.370331,150.770
1783748095.390475,150.799
1783748095.410611,150.799
1783748095.430755,150.799
1783748095.450902,150.799
1783748095.471049,150.799
1783748095.491189,150.655
1783748095.511327,150.655
1783748095.531474,150.655
1783748095.551619,150.655
1783748095.571760,150.655
1783748095.591873,151.002
1783748095.612017,151.002
1783748095.632174,151.002
1783748095.652318,151.002
1783748095.672456,151.002
1783748095.692597,150.902
1783748095.712945,150.902
1783748095.733087,150.902
1783748095.753227,150.902
1783748095.773371,150.902
1783748095.793527,151.060
1783748095.813673,151.060
1783748095.833812,151.060
1783748095.853956,151.060
1783748095.874111,151.060
1783748095.894258,151.046
1783748095.914395,151.046
1783748095.934538,151.046
1783748095.954721,151.046
1783748095.974917,151.046
1783748095.995056,151.090
1783748096.015225,151.090
1783748096.035372,151.090
1783748096.055525,151.090
1783748096.075668,151.090
1783748096.095806,150.977
1783748096.115950,150.977
1783748096.136104,150.977
1783748096.156248,150.977
1783748096.176384,150.977
1783748096.196529,151.091
1783748096.216674,151.091
1783748096.236816,151.091
1783748096.256955,151.091
1783748096.277098,151.091
1783748096.297250,151.278
1783748096.317392,151.278
1783748096.337529,151.278
1783748096.357672,151.278
1783748096.377828,151.278
1783748096.397969,151.544
1783748096.418108,151.544
1783748096.438251,151.544
1783748096.458393,151.544
1783748096.478532,151.544
1783748096.498669,151.250
1783748096.518810,151.250
1783748096.538922,151.250
1783748096.559036,151.250
1783748096.579139,151.250
1783748096.599246,151.550
1783748096.619388,151.550
1783748096.639542,151.550
1783748096.659649,151.550
1783748096.679752,151.550
1783748096.699884,151.654
1783748096.720033,151.654
1783748096.740174,151.654
1783748096.760310,151.654
1783748096.780448,151.654
1783748096.800600,151.486
1783748096.820711,151.486
1783748096.840836,151.486
1783748096.860928,151.486
1783748096.881068,151.486
1783748096.901212,151.784
1783748096.921318,151.784
1783748096.941415,151.784
1783748096.961507,151.784
1783748096.981644,151.784
1783748097.001789,151.398
1783748097.021924,151.398
1783748097.042060,151.398
1783748097.062169,151.398
1783748097.082271,151.398
1783748097.102393,151.491
