sample_idx,unix_t,offset_s,gpu_power_watts
473,1783740047.5440464,9.5338,177.796
474,1783740047.5641825,9.5540,177.796
475,1783740047.584328,9.5741,177.796
476,1783740047.6044748,9.5943,177.796
477,1783740047.624622,9.6144,171.822
478,1783740047.6447613,9.6346,171.822
479,1783740047.664904,9.6547,171.822
480,1783740047.6850557,9.6749,171.822
481,1783740047.7052088,9.6950,171.822
482,1783740047.725346,9.7151,169.586
483,1783740047.7454867,9.7353,169.586
484,1783740047.7656314,9.7554,169.586
485,1783740047.7857914,9.7756,169.586
486,1783740047.8059368,9.7957,169.586
487,1783740047.826075,9.8159,164.985
488,1783740047.8462179,9.8360,164.985
489,1783740047.8663785,9.8562,164.985
490,1783740047.8865225,9.8763,164.985
491,1783740047.9066887,9.8965,164.985
492,1783740047.9268327,9.9166,159.076
493,1783740047.946982,9.9368,159.076
494,1783740047.967121,9.9569,159.076
495,1783740047.987259,9.9771,159.076
496,1783740048.0073977,9.9972,159.076
497,1783740048.0275533,10.0174,159.614
498,1783740048.0476954,10.0375,159.614
499,1783740048.0678759,10.0577,159.614
500,1783740048.0880194,10.0778,159.614
501,1783740048.1081743,10.0980,159.614
502,1783740048.1283176,10.1181,159.547
503,1783740048.1484556,10.1383,159.547
504,1783740048.1685972,10.1584,159.547
505,1783740048.1887896,10.1786,159.547
506,1783740048.2089422,10.1987,159.547
507,1783740048.2290823,10.2189,159.572
508,1783740048.249222,10.2390,159.572
509,1783740048.2693655,10.2592,159.572
510,1783740048.2895224,10.2793,159.572
511,1783740048.3096635,10.2995,159.572
512,1783740048.3298035,10.3196,159.986
513,1783740048.349947,10.3397,159.986
514,1783740048.3701031,10.3599,159.986
515,1783740048.390247,10.3800,159.986
516,1783740048.410383,10.4002,159.986
517,1783740048.4305274,10.4203,159.666
518,1783740048.4506829,10.4405,159.666
519,1783740048.470832,10.4606,159.666
520,1783740048.490973,10.4808,159.666
521,1783740048.5111146,10.5009,159.666
522,1783740048.5312707,10.5211,159.907
523,1783740048.551415,10.5412,159.907
524,1783740048.571554,10.5614,159.907
525,1783740048.5916991,10.5815,159.907
526,1783740048.6118982,10.6017,159.907
527,1783740048.6320448,10.6218,165.829
528,1783740048.6521842,10.6420,165.829
529,1783740048.6723258,10.6621,165.829
530,1783740048.6924715,10.6823,165.829
531,1783740048.7126203,10.7024,165.829
532,1783740048.7327611,10.7226,168.19
533,1783740048.752903,10.7427,168.19
534,1783740048.7730742,10.7629,168.19
535,1783740048.7932312,10.7830,168.19
536,1783740048.813373,10.8032,168.19
537,1783740048.8335133,10.8233,170.732
538,1783740048.8536606,10.8435,170.732
539,1783740048.873816,10.8636,170.732
540,1783740048.8939602,10.8838,170.732
541,1783740048.9140983,10.9039,170.732
542,1783740048.9342427,10.9240,177.324
543,1783740048.9543984,10.9442,177.324
544,1783740048.9745429,10.9643,177.324
545,1783740048.9946837,10.9845,177.324
546,1783740049.0148275,11.0046,177.324
547,1783740049.0349724,11.0248,178.0
548,1783740049.0551178,11.0449,178.0
549,1783740049.0752535,11.0651,178.0
550,1783740049.095398,11.0852,178.0
551,1783740049.1155498,11.1054,178.0
552,1783740049.135691,11.1255,178.124
553,1783740049.155832,11.1456,178.124
554,1783740049.1759746,11.1658,178.124
555,1783740049.1961465,11.1859,178.124
556,1783740049.2162933,11.2061,178.124
557,1783740049.2364306,11.2262,177.973
558,1783740049.2565715,11.2464,177.973
559,1783740049.276718,11.2665,177.973
560,1783740049.2969213,11.2867,177.973
561,1783740049.317061,11.3069,177.973
562,1783740049.3372006,11.3270,177.364
563,1783740049.3573482,11.3471,177.364
564,1783740049.3775017,11.3673,177.364
565,1783740049.3976448,11.3874,177.364
566,1783740049.417785,11.4076,177.364
567,1783740049.4379249,11.4277,177.245
568,1783740049.4580815,11.4479,177.245
569,1783740049.478226,11.4680,177.245
570,1783740049.4983659,11.4882,177.245
571,1783740049.5185091,11.5083,177.245
572,1783740049.538656,11.5285,177.632
573,1783740049.558799,11.5486,177.632
574,1783740049.5789394,11.5687,177.632
575,1783740049.5990832,11.5889,177.632
576,1783740049.6192386,11.6090,177.632
577,1783740049.6393805,11.6292,177.703
578,1783740049.6595192,11.6493,177.703
579,1783740049.679663,11.6695,177.703
580,1783740049.6998105,11.6896,177.703
581,1783740049.7199633,11.7098,177.703
582,1783740049.7401006,11.7299,177.914
583,1783740049.7602434,11.7500,177.914
584,1783740049.7803922,11.7702,177.914
585,1783740049.8005452,11.7903,177.914
586,1783740049.8206873,11.8105,177.914
587,1783740049.840825,11.8306,173.933
588,1783740049.8609679,11.8508,173.933
589,1783740049.8811238,11.8709,173.933
590,1783740049.901266,11.8911,173.933
591,1783740049.9214056,11.9112,173.933
592,1783740049.9415455,11.9313,165.758
593,1783740049.9617753,11.9516,165.758
594,1783740049.9819229,11.9717,165.758
595,1783740050.002058,11.9919,165.758
596,1783740050.0222042,12.0120,157.409
597,1783740050.0423546,12.0322,157.409
598,1783740050.062501,12.0523,157.409
599,1783740050.0826373,12.0724,157.409
600,1783740050.1027796,12.0926,157.409
