sample_idx,unix_t,offset_s,gpu_power_watts
73,1783740051.6011212,1.4705,147.544
74,1783740051.621265,1.4906,147.544
75,1783740051.6414104,1.5108,155.628
76,1783740051.6615555,1.5309,155.628
77,1783740051.6816976,1.5510,155.628
78,1783740051.7018862,1.5712,155.628
79,1783740051.7219994,1.5913,155.628
80,1783740051.7421079,1.6114,161.913
81,1783740051.7622468,1.6316,161.913
82,1783740051.7823913,1.6517,161.913
83,1783740051.802545,1.6719,161.913
84,1783740051.8226876,1.6920,168.183
85,1783740051.8428266,1.7122,168.183
86,1783740051.8629713,1.7323,168.183
87,1783740051.8831258,1.7525,168.183
88,1783740051.9032757,1.7726,168.183
89,1783740051.9234133,1.7928,168.857
90,1783740051.9435508,1.8129,168.857
91,1783740051.9636989,1.8330,168.857
92,1783740051.9838934,1.8532,168.857
93,1783740052.0040343,1.8734,168.857
94,1783740052.0241768,1.8935,168.638
95,1783740052.0443177,1.9137,168.638
96,1783740052.064477,1.9338,168.638
97,1783740052.0846205,1.9540,168.638
98,1783740052.1047587,1.9741,168.638
99,1783740052.1249034,1.9942,169.031
100,1783740052.145047,2.0144,169.031
101,1783740052.1651921,2.0345,169.031
102,1783740052.1853309,2.0547,169.031
103,1783740052.2054741,2.0748,169.031
104,1783740052.2256286,2.0950,168.344
105,1783740052.245771,2.1151,168.344
106,1783740052.2659094,2.1352,168.344
107,1783740052.2860537,2.1554,168.344
108,1783740052.3062127,2.1756,168.344
109,1783740052.32636,2.1957,168.053
110,1783740052.346499,2.2158,168.053
111,1783740052.366643,2.2360,168.053
112,1783740052.3867953,2.2561,168.053
113,1783740052.4069376,2.2763,168.053
114,1783740052.4270782,2.2964,168.409
115,1783740052.4472215,2.3166,168.409
116,1783740052.4673662,2.3367,168.409
117,1783740052.4875147,2.3569,168.409
118,1783740052.5076516,2.3770,168.409
119,1783740052.5277755,2.3971,168.014
120,1783740052.547919,2.4173,168.014
121,1783740052.5680685,2.4374,168.014
122,1783740052.5882118,2.4576,168.014
123,1783740052.6083517,2.4777,168.014
124,1783740052.6284966,2.4978,168.525
125,1783740052.6486456,2.5180,168.525
126,1783740052.6687884,2.5381,168.525
127,1783740052.6889296,2.5583,168.525
128,1783740052.7090714,2.5784,168.525
129,1783740052.729234,2.5986,168.213
130,1783740052.7493749,2.6187,168.213
131,1783740052.7695153,2.6389,168.213
132,1783740052.7896566,2.6590,168.213
133,1783740052.8098137,2.6792,168.213
134,1783740052.8299596,2.6993,168.67
135,1783740052.8500977,2.7194,168.67
136,1783740052.8702402,2.7396,168.67
137,1783740052.8903933,2.7597,168.67
138,1783740052.9105406,2.7799,168.67
139,1783740052.930683,2.8000,168.534
140,1783740052.9509072,2.8202,168.534
141,1783740052.971056,2.8404,168.534
142,1783740052.9912112,2.8606,168.534
143,1783740053.0113482,2.8807,168.534
144,1783740053.0314882,2.9008,168.83
145,1783740053.0516322,2.9210,168.83
146,1783740053.071776,2.9411,168.83
147,1783740053.0919158,2.9613,168.83
148,1783740053.1120546,2.9814,168.83
149,1783740053.1322007,3.0015,168.758
150,1783740053.1523495,3.0217,168.758
151,1783740053.172493,3.0418,168.758
152,1783740053.192631,3.0620,168.758
153,1783740053.2127757,3.0821,168.758
154,1783740053.2329328,3.1023,169.493
155,1783740053.253072,3.1224,169.493
156,1783740053.27321,3.1425,169.493
157,1783740053.2933311,3.1627,169.493
158,1783740053.3134856,3.1828,169.493
159,1783740053.3336327,3.2030,169.792
160,1783740053.353771,3.2231,169.792
161,1783740053.373914,3.2433,169.792
162,1783740053.3940678,3.2634,169.792
163,1783740053.414214,3.2836,169.792
164,1783740053.4343553,3.3037,169.355
165,1783740053.4545028,3.3238,169.355
166,1783740053.4746494,3.3440,169.355
167,1783740053.4947999,3.3641,169.355
168,1783740053.514937,3.3843,169.355
169,1783740053.535077,3.4044,169.705
170,1783740053.555225,3.4246,169.705
171,1783740053.5753777,3.4447,169.705
172,1783740053.5955172,3.4649,169.705
173,1783740053.6156578,3.4850,169.705
174,1783740053.6358054,3.5051,169.494
175,1783740053.6559553,3.5253,169.494
176,1783740053.6760979,3.5454,169.494
177,1783740053.6962366,3.5656,169.494
178,1783740053.7163794,3.5857,169.494
179,1783740053.736538,3.6059,169.523
180,1783740053.7566803,3.6260,169.523
181,1783740053.77682,3.6462,169.523
182,1783740053.7969613,3.6663,169.523
183,1783740053.8171146,3.6865,169.523
184,1783740053.8372602,3.7066,169.603
185,1783740053.8573997,3.7267,169.603
186,1783740053.877543,3.7469,169.603
187,1783740053.8976958,3.7670,169.603
188,1783740053.9178963,3.7872,169.603
189,1783740053.938034,3.8074,169.555
190,1783740053.9581778,3.8275,169.555
191,1783740053.978328,3.8477,169.555
192,1783740053.9984808,3.8678,169.555
193,1783740054.0186205,3.8880,169.555
194,1783740054.038763,3.9081,169.557
195,1783740054.058911,3.9283,169.557
196,1783740054.079063,3.9484,169.557
197,1783740054.0992029,3.9685,169.557
198,1783740054.1193445,3.9887,169.557
199,1783740054.1394615,4.0088,169.43
200,1783740054.159616,4.0290,169.43
201,1783740054.1797552,4.0491,169.43
202,1783740054.1998954,4.0692,169.43
203,1783740054.2200375,4.0894,169.43
204,1783740054.2402236,4.1096,169.636
205,1783740054.2603664,4.1297,169.636
206,1783740054.2805035,4.1498,169.636
207,1783740054.300646,4.1700,169.636
208,1783740054.3207989,4.1901,169.636
209,1783740054.3409467,4.2103,169.235
210,1783740054.3610866,4.2304,169.235
211,1783740054.3812282,4.2506,169.235
212,1783740054.40138,4.2707,169.235
213,1783740054.4215312,4.2909,169.235
214,1783740054.4416714,4.3110,169.751
215,1783740054.4618168,4.3312,169.751
216,1783740054.4819674,4.3513,169.751
217,1783740054.50211,4.3714,169.751
218,1783740054.522249,4.3916,169.751
219,1783740054.5423908,4.4117,169.641
220,1783740054.5625377,4.4319,169.641
221,1783740054.5826917,4.4520,169.641
222,1783740054.602858,4.4722,169.641
223,1783740054.6229987,4.4923,169.641
224,1783740054.6431427,4.5125,169.63
225,1783740054.6632962,4.5326,169.63
226,1783740054.6834369,4.5528,169.63
227,1783740054.7035758,4.5729,169.63
228,1783740054.72372,4.5931,168.855
229,1783740054.743924,4.6133,168.855
230,1783740054.764068,4.6334,168.855
231,1783740054.7842078,4.6535,168.855
232,1783740054.804353,4.6737,168.855
233,1783740054.824513,4.6939,169.018
234,1783740054.8446577,4.7140,169.018
235,1783740054.8647995,4.7341,169.018
236,1783740054.8849423,4.7543,169.018
237,1783740054.9050975,4.7744,169.018
238,1783740054.9252474,4.7946,168.959
239,1783740054.9453847,4.8147,168.959
240,1783740054.9655292,4.8349,168.959
241,1783740054.985677,4.8550,168.959
242,1783740055.0058181,4.8752,168.959
243,1783740055.0259585,4.8953,168.979
244,1783740055.046098,4.9154,168.979
245,1783740055.066245,4.9356,168.979
246,1783740055.0863974,4.9557,168.979
247,1783740055.10654,4.9759,168.979
248,1783740055.1266806,4.9960,168.999
249,1783740055.146822,5.0162,168.999
250,1783740055.1669786,5.0363,168.999
251,1783740055.1871226,5.0565,168.999
252,1783740055.2072308,5.0766,168.999
253,1783740055.2273362,5.0967,168.853
254,1783740055.2474766,5.1168,168.853
255,1783740055.267619,5.1370,168.853
256,1783740055.2877593,5.1571,168.853
257,1783740055.3079028,5.1772,168.853
258,1783740055.3280556,5.1974,168.678
259,1783740055.348193,5.2175,168.678
260,1783740055.3683324,5.2377,168.678
261,1783740055.3884723,5.2578,168.678
262,1783740055.4086215,5.2780,168.678
263,1783740055.4287708,5.2981,168.833
264,1783740055.4489079,5.3182,168.833
265,1783740055.4690506,5.3384,168.833
266,1783740055.4892006,5.3585,168.833
267,1783740055.509343,5.3787,168.833
268,1783740055.5295134,5.3989,168.616
269,1783740055.5496519,5.4190,168.616
270,1783740055.5698013,5.4391,168.616
271,1783740055.589954,5.4593,168.616
272,1783740055.610064,5.4794,168.616
273,1783740055.6302032,5.4995,168.795
274,1783740055.6503413,5.5197,168.795
275,1783740055.6704915,5.5398,168.795
276,1783740055.690634,5.5600,168.795
277,1783740055.7107737,5.5801,168.795
278,1783740055.7309191,5.6003,169.521
279,1783740055.751065,5.6204,169.521
280,1783740055.7712097,5.6405,169.521
281,1783740055.7913501,5.6607,169.521
282,1783740055.8114908,5.6808,169.521
283,1783740055.831647,5.7010,169.485
284,1783740055.851786,5.7211,169.485
285,1783740055.8719263,5.7413,169.485
286,1783740055.892066,5.7614,169.485
287,1783740055.9122212,5.7816,169.485
288,1783740055.93237,5.8017,169.396
289,1783740055.9525075,5.8218,169.396
290,1783740055.9726522,5.8420,169.396
291,1783740055.992803,5.8621,169.396
292,1783740056.0129454,5.8823,169.396
293,1783740056.0330868,5.9024,169.309
294,1783740056.0532284,5.9226,169.309
295,1783740056.0733767,5.9427,169.309
296,1783740056.0935311,5.9629,169.309
297,1783740056.1136706,5.9830,169.309
298,1783740056.1338103,6.0032,169.588
299,1783740056.153951,6.0233,169.588
300,1783740056.1741068,6.0434,169.588
301,1783740056.194249,6.0636,169.588
302,1783740056.2143881,6.0837,169.588
303,1783740056.2345319,6.1039,169.309
304,1783740056.25468,6.1240,169.309
305,1783740056.2748213,6.1442,169.309
306,1783740056.2949607,6.1643,169.309
307,1783740056.315103,6.1844,169.309
308,1783740056.3352568,6.2046,169.918
309,1783740056.3553994,6.2247,169.918
310,1783740056.3755376,6.2449,169.918
311,1783740056.3956778,6.2650,169.918
312,1783740056.4158304,6.2852,169.918
313,1783740056.435979,6.3053,169.267
314,1783740056.456118,6.3255,169.267
315,1783740056.476262,6.3456,169.267
316,1783740056.49641,6.3657,169.267
317,1783740056.5165532,6.3859,169.267
318,1783740056.536693,6.4060,169.305
319,1783740056.556834,6.4262,169.305
320,1783740056.5769837,6.4463,169.305
321,1783740056.597132,6.4665,169.305
322,1783740056.6172729,6.4866,169.305
323,1783740056.6374133,6.5068,168.993
324,1783740056.6575541,6.5269,168.993
325,1783740056.677711,6.5471,168.993
326,1783740056.6978958,6.5672,168.993
327,1783740056.7180345,6.5874,168.993
328,1783740056.7381785,6.6075,168.306
329,1783740056.7583275,6.6277,168.306
330,1783740056.778472,6.6478,168.306
331,1783740056.7986434,6.6680,168.306
332,1783740056.8187852,6.6881,168.306
333,1783740056.8389432,6.7083,168.158
334,1783740056.8590853,6.7284,168.158
335,1783740056.8792243,6.7486,168.158
336,1783740056.899368,6.7687,168.158
337,1783740056.9195144,6.7889,168.158
338,1783740056.9396582,6.8090,167.399
339,1783740056.9597962,6.8291,167.399
340,1783740056.9799376,6.8493,167.399
341,1783740057.0000896,6.8694,167.399
342,1783740057.0202286,6.8896,167.399
343,1783740057.0403533,6.9097,167.618
344,1783740057.0604656,6.9298,167.618
345,1783740057.080571,6.9499,167.618
346,1783740057.1006594,6.9700,167.618
347,1783740057.120747,6.9901,167.618
348,1783740057.1408377,7.0102,167.412
349,1783740057.1609652,7.0303,167.412
350,1783740057.1811266,7.0505,167.412
351,1783740057.2012675,7.0706,167.412
352,1783740057.2214065,7.0907,167.412
353,1783740057.2415533,7.1109,167.427
354,1783740057.261704,7.1310,167.427
355,1783740057.2818985,7.1512,167.427
356,1783740057.3020406,7.1714,167.427
357,1783740057.322182,7.1915,167.427
358,1783740057.3423352,7.2117,167.31
359,1783740057.3624797,7.2318,167.31
360,1783740057.38262,7.2520,167.31
361,1783740057.4027624,7.2721,167.31
362,1783740057.4229105,7.2923,167.31
363,1783740057.4430556,7.3124,167.542
364,1783740057.4631958,7.3325,167.542
365,1783740057.4833398,7.3527,167.542
366,1783740057.5034914,7.3728,167.542
367,1783740057.5236375,7.3930,167.542
368,1783740057.5437734,7.4131,167.764
369,1783740057.5639162,7.4333,167.764
370,1783740057.5840616,7.4534,167.764
371,1783740057.6042128,7.4736,167.764
372,1783740057.6243536,7.4937,167.764
373,1783740057.644494,7.5138,167.547
374,1783740057.6646369,7.5340,167.547
375,1783740057.6847923,7.5541,167.547
376,1783740057.7049334,7.5743,167.547
377,1783740057.7250762,7.5944,168.744
378,1783740057.74522,7.6146,168.744
379,1783740057.765376,7.6347,168.744
380,1783740057.7855194,7.6549,168.744
381,1783740057.8056612,7.6750,168.744
382,1783740057.8258054,7.6951,168.656
383,1783740057.8459594,7.7153,168.656
384,1783740057.8661036,7.7354,168.656
385,1783740057.8862457,7.7556,168.656
386,1783740057.9063888,7.7757,168.656
387,1783740057.9265451,7.7959,169.529
388,1783740057.9466913,7.8160,169.529
389,1783740057.9668798,7.8362,169.529
390,1783740057.987024,7.8564,169.529
391,1783740058.0071652,7.8765,169.529
392,1783740058.0273113,7.8967,169.332
393,1783740058.0474524,7.9168,169.332
394,1783740058.0675983,7.9369,169.332
395,1783740058.0877757,7.9571,169.332
396,1783740058.1079197,7.9773,169.332
397,1783740058.1280606,7.9974,169.404
398,1783740058.1482036,8.0175,169.404
399,1783740058.168347,8.0377,169.404
400,1783740058.1885,8.0578,169.404
401,1783740058.2086442,8.0780,169.404
402,1783740058.2287846,8.0981,169.562
403,1783740058.2489302,8.1183,169.562
404,1783740058.2690809,8.1384,169.562
405,1783740058.289222,8.1586,169.562
406,1783740058.3093624,8.1787,169.562
407,1783740058.329505,8.1988,169.661
408,1783740058.3496604,8.2190,169.661
409,1783740058.3698053,8.2391,169.661
410,1783740058.389947,8.2593,169.661
411,1783740058.410089,8.2794,169.661
412,1783740058.43024,8.2996,169.883
413,1783740058.4503858,8.3197,169.883
414,1783740058.4705262,8.3399,169.883
415,1783740058.4906688,8.3600,169.883
416,1783740058.5108168,8.3802,169.883
417,1783740058.5309644,8.4003,169.709
418,1783740058.5511026,8.4204,169.709
419,1783740058.5712483,8.4406,169.709
420,1783740058.5913959,8.4607,169.709
421,1783740058.6115475,8.4809,169.709
422,1783740058.6316895,8.5010,170.004
423,1783740058.6518633,8.5212,170.004
424,1783740058.6720116,8.5414,170.004
425,1783740058.6921692,8.5615,170.004
426,1783740058.7123113,8.5817,170.004
427,1783740058.7324524,8.6018,169.817
428,1783740058.7525961,8.6219,169.817
429,1783740058.7727964,8.6421,169.817
430,1783740058.7929385,8.6623,169.817
431,1783740058.8130794,8.6824,169.817
432,1783740058.8332226,8.7026,170.067
433,1783740058.8533788,8.7227,170.067
434,1783740058.8735242,8.7429,170.067
435,1783740058.8936656,8.7630,170.067
436,1783740058.9138083,8.7831,170.067
437,1783740058.933957,8.8033,170.051
438,1783740058.954099,8.8234,170.051
439,1783740058.9742403,8.8436,170.051
440,1783740058.994383,8.8637,170.051
441,1783740059.014535,8.8839,170.051
442,1783740059.0346844,8.9040,170.364
443,1783740059.054822,8.9242,170.364
444,1783740059.0749683,8.9443,170.364
445,1783740059.0951183,8.9645,170.364
446,1783740059.1152637,8.9846,170.364
447,1783740059.135409,9.0047,170.114
448,1783740059.1555538,9.0249,170.114
449,1783740059.1757026,9.0450,170.114
450,1783740059.1959016,9.0652,170.114
451,1783740059.2160437,9.0854,170.114
452,1783740059.2361841,9.1055,170.413
453,1783740059.256296,9.1256,170.413
454,1783740059.2764509,9.1458,170.413
455,1783740059.2965922,9.1659,170.413
456,1783740059.3167765,9.1861,170.413
457,1783740059.3369205,9.2063,170.065
458,1783740059.3570364,9.2264,170.065
459,1783740059.3771987,9.2465,170.065
460,1783740059.3973417,9.2667,170.065
461,1783740059.417485,9.2868,170.065
462,1783740059.4376316,9.3070,170.288
463,1783740059.4577522,9.3271,170.288
464,1783740059.4778886,9.3472,170.288
465,1783740059.498028,9.3674,170.288
466,1783740059.5181775,9.3875,170.288
