sample_idx,unix_t,offset_s,gpu_power_watts
204,1783740732.0497732,4.1137,177.298
205,1783740732.0699096,4.1339,177.298
206,1783740732.0900466,4.1540,177.298
207,1783740732.1101875,4.1741,177.269
208,1783740732.1303513,4.1943,177.269
209,1783740732.1504884,4.2144,177.269
210,1783740732.1706252,4.2346,177.269
211,1783740732.1907685,4.2547,177.269
212,1783740732.2109122,4.2749,177.213
213,1783740732.2310503,4.2950,177.213
214,1783740732.2511842,4.3151,177.213
215,1783740732.2713208,4.3353,177.213
216,1783740732.2914684,4.3554,177.213
217,1783740732.311611,4.3756,177.821
218,1783740732.3317497,4.3957,177.821
219,1783740732.3518903,4.4158,177.821
220,1783740732.3720384,4.4360,177.821
221,1783740732.392179,4.4561,177.821
222,1783740732.4122977,4.4763,177.45
223,1783740732.4324365,4.4964,177.45
224,1783740732.452586,4.5165,177.45
225,1783740732.4727762,4.5367,177.45
226,1783740732.4929135,4.5569,177.45
227,1783740732.5130546,4.5770,176.617
228,1783740732.5331988,4.5972,176.617
229,1783740732.5533357,4.6173,176.617
230,1783740732.5734963,4.6375,176.617
231,1783740732.5936337,4.6576,176.617
232,1783740732.6137712,4.6777,176.864
233,1783740732.633919,4.6979,176.864
234,1783740732.6540563,4.7180,176.864
235,1783740732.6741946,4.7381,176.864
236,1783740732.694331,4.7583,176.864
237,1783740732.7144709,4.7784,177.193
238,1783740732.7346108,4.7986,177.193
239,1783740732.754785,4.8187,177.193
240,1783740732.7749233,4.8389,177.193
241,1783740732.795073,4.8590,177.193
242,1783740732.8152156,4.8792,177.005
243,1783740732.8353546,4.8993,177.005
244,1783740732.855491,4.9194,177.005
245,1783740732.8756356,4.9396,177.005
246,1783740732.8957584,4.9597,177.005
247,1783740732.9158945,4.9798,177.352
248,1783740732.9360313,5.0000,177.352
249,1783740732.9561782,5.0201,177.352
250,1783740732.9763217,5.0403,177.352
251,1783740732.9964576,5.0604,177.352
252,1783740733.016599,5.0806,176.836
253,1783740733.036784,5.1007,176.836
254,1783740733.056924,5.1209,176.836
255,1783740733.07706,5.1410,176.836
256,1783740733.0971982,5.1612,176.836
257,1783740733.1173184,5.1813,177.102
258,1783740733.1374671,5.2014,177.102
259,1783740733.1576054,5.2216,177.102
260,1783740733.1777847,5.2417,177.102
261,1783740733.1979268,5.2619,177.125
262,1783740733.2180767,5.2820,177.125
263,1783740733.238213,5.3022,177.125
264,1783740733.25835,5.3223,177.125
265,1783740733.2784898,5.3424,177.125
266,1783740733.298639,5.3626,176.928
267,1783740733.3187652,5.3827,176.928
268,1783740733.3388743,5.4028,176.928
269,1783740733.3590014,5.4230,176.928
270,1783740733.3791554,5.4431,176.928
271,1783740733.3992763,5.4632,177.464
272,1783740733.4194446,5.4834,177.464
273,1783740733.4395823,5.5035,177.464
274,1783740733.459782,5.5237,177.464
275,1783740733.4799297,5.5439,177.464
276,1783740733.5000436,5.5640,177.861
277,1783740733.520191,5.5841,177.861
278,1783740733.5403416,5.6043,177.861
279,1783740733.5604806,5.6244,177.861
280,1783740733.5806158,5.6446,177.861
281,1783740733.6007617,5.6647,177.911
282,1783740733.6209023,5.6849,177.911
283,1783740733.641034,5.7050,177.911
284,1783740733.6611755,5.7251,177.911
285,1783740733.6813183,5.7453,177.911
286,1783740733.7014651,5.7654,176.977
287,1783740733.721614,5.7856,176.977
288,1783740733.7417564,5.8057,176.977
289,1783740733.7618957,5.8258,176.977
290,1783740733.7820375,5.8460,176.977
291,1783740733.8021483,5.8661,176.879
292,1783740733.8222854,5.8862,176.879
293,1783740733.8424475,5.9064,176.879
294,1783740733.8625863,5.9265,176.879
295,1783740733.8827803,5.9467,176.879
296,1783740733.9028893,5.9668,176.855
297,1783740733.923025,5.9870,176.855
298,1783740733.9431658,6.0071,176.855
299,1783740733.9633207,6.0273,176.855
300,1783740733.983468,6.0474,176.855
301,1783740734.0035765,6.0675,177.216
302,1783740734.023718,6.0877,177.216
303,1783740734.0439095,6.1079,177.216
304,1783740734.0640464,6.1280,177.216
305,1783740734.084183,6.1481,177.216
306,1783740734.1042955,6.1682,176.74
307,1783740734.124442,6.1884,176.74
308,1783740734.1445885,6.2085,176.74
309,1783740734.1647732,6.2287,176.74
310,1783740734.1849163,6.2489,176.74
311,1783740734.2050598,6.2690,177.389
312,1783740734.2252123,6.2892,177.389
313,1783740734.2453506,6.3093,177.389
314,1783740734.2654908,6.3294,177.389
315,1783740734.2856317,6.3496,177.389
316,1783740734.3057733,6.3697,177.172
317,1783740734.3259108,6.3899,177.172
318,1783740734.3460488,6.4100,177.172
319,1783740734.3661864,6.4301,177.172
320,1783740734.3863258,6.4503,177.172
321,1783740734.406462,6.4704,176.629
322,1783740734.4265945,6.4905,176.629
323,1783740734.4467769,6.5107,176.629
324,1783740734.4669287,6.5309,176.629
325,1783740734.4870753,6.5510,176.629
326,1783740734.5072112,6.5712,176.833
327,1783740734.5273497,6.5913,176.833
328,1783740734.5475006,6.6115,176.833
329,1783740734.5676405,6.6316,176.833
330,1783740734.5877783,6.6517,176.833
331,1783740734.6079228,6.6719,177.123
332,1783740734.6280684,6.6920,177.123
333,1783740734.6482131,6.7122,177.123
334,1783740734.6683517,6.7323,177.123
335,1783740734.688495,6.7524,177.123
336,1783740734.7086685,6.7726,177.626
337,1783740734.7288222,6.7928,177.626
338,1783740734.748929,6.8129,177.626
339,1783740734.7690685,6.8330,177.626
340,1783740734.7892122,6.8532,177.626
341,1783740734.8093529,6.8733,177.584
342,1783740734.8294911,6.8934,177.584
343,1783740734.8496294,6.9136,177.584
344,1783740734.8697705,6.9337,177.584
345,1783740734.889914,6.9539,177.584
346,1783740734.9100537,6.9740,177.3
347,1783740734.9301727,6.9941,177.3
348,1783740734.9503179,7.0143,177.3
349,1783740734.97047,7.0344,177.3
350,1783740734.990609,7.0546,177.3
351,1783740735.0108023,7.0748,177.287
352,1783740735.030943,7.0949,177.287
353,1783740735.0510943,7.1150,177.287
354,1783740735.0712342,7.1352,177.287
355,1783740735.091369,7.1553,177.287
356,1783740735.1115124,7.1755,177.645
357,1783740735.131678,7.1956,177.645
358,1783740735.1518254,7.2158,177.645
359,1783740735.17196,7.2359,177.645
360,1783740735.1921022,7.2561,177.645
361,1783740735.2122498,7.2762,177.144
362,1783740735.2324007,7.2964,177.144
363,1783740735.2525408,7.3165,177.144
364,1783740735.2726796,7.3366,177.144
365,1783740735.2928214,7.3568,177.144
366,1783740735.312966,7.3769,177.113
367,1783740735.3331077,7.3971,177.113
368,1783740735.353247,7.4172,177.113
369,1783740735.3733904,7.4373,177.113
370,1783740735.3935354,7.4575,177.113
371,1783740735.4136784,7.4776,177.328
372,1783740735.4338157,7.4978,177.328
373,1783740735.4539576,7.5179,177.328
374,1783740735.4741037,7.5381,177.328
375,1783740735.494249,7.5582,177.328
376,1783740735.514388,7.5783,177.652
377,1783740735.5345275,7.5985,177.652
378,1783740735.554673,7.6186,177.652
379,1783740735.5748112,7.6388,177.652
380,1783740735.5949502,7.6589,177.652
381,1783740735.6150918,7.6790,177.522
382,1783740735.6352391,7.6992,177.522
383,1783740735.6553872,7.7193,177.522
384,1783740735.6755285,7.7395,177.522
385,1783740735.6956704,7.7596,177.522
386,1783740735.7158172,7.7798,177.436
387,1783740735.735965,7.7999,177.436
388,1783740735.7561023,7.8201,177.436
389,1783740735.7762403,7.8402,177.436
390,1783740735.7963827,7.8603,177.436
391,1783740735.816531,7.8805,177.486
392,1783740735.836672,7.9006,177.486
393,1783740735.85681,7.9208,177.486
394,1783740735.8769548,7.9409,177.486
395,1783740735.8971074,7.9611,177.486
396,1783740735.917252,7.9812,177.727
