t,W
1783750602.576209,246.859
1783750602.596503,246.859
1783750602.616649,248.303
1783750602.636802,248.303
1783750602.656943,248.303
1783750602.677083,248.303
1783750602.697231,248.303
1783750602.717381,248.759
1783750602.737524,248.759
1783750602.757660,248.759
1783750602.777810,248.759
1783750602.797959,248.759
1783750602.818104,248.413
1783750602.838245,248.413
1783750602.858394,248.413
1783750602.878540,248.413
1783750602.898689,248.413
1783750602.918851,248.375
1783750602.938998,248.375
1783750602.959143,248.375
1783750602.979295,248.375
1783750602.999435,248.375
1783750603.019580,247.819
1783750603.039767,247.819
1783750603.059918,247.819
1783750603.080058,247.819
1783750603.100201,247.819
1783750603.120349,247.551
1783750603.140498,247.551
1783750603.160637,247.551
1783750603.180778,247.551
1783750603.200926,247.551
1783750603.221076,247.565
1783750603.241191,247.565
1783750603.261295,247.565
1783750603.281431,247.565
1783750603.301586,247.565
1783750603.321779,248.042
1783750603.341923,248.042
1783750603.362074,248.042
1783750603.382255,248.042
1783750603.402410,248.042
1783750603.422550,247.902
1783750603.442698,247.902
1783750603.462903,247.902
1783750603.483052,247.902
1783750603.503192,247.902
1783750603.523338,247.670
1783750603.543483,247.670
1783750603.563635,247.670
1783750603.583777,247.670
1783750603.603920,247.670
1783750603.624064,247.181
1783750603.644213,247.181
1783750603.664354,247.181
1783750603.684496,247.181
1783750603.704643,247.181
1783750603.724793,246.858
1783750603.744936,246.858
1783750603.765074,246.858
1783750603.785223,246.858
1783750603.805352,246.858
1783750603.825499,246.127
1783750603.845611,246.127
1783750603.865761,246.127
1783750603.885906,246.127
1783750603.906057,246.127
1783750603.926198,247.011
1783750603.946342,247.011
1783750603.966488,247.011
1783750603.986639,247.011
1783750604.006776,247.011
1783750604.026922,248.170
1783750604.047065,248.170
1783750604.067216,248.170
1783750604.087386,248.170
1783750604.107511,248.170
1783750604.127656,248.502
1783750604.147806,248.502
1783750604.167948,248.502
1783750604.188092,248.502
1783750604.208239,248.502
1783750604.228389,249.489
1783750604.248534,249.489
1783750604.268673,249.489
1783750604.288803,249.489
1783750604.308952,249.489
1783750604.329098,249.761
1783750604.349239,249.761
1783750604.369387,249.761
1783750604.389529,249.761
1783750604.409677,249.761
1783750604.429817,248.937
1783750604.449963,248.937
1783750604.470104,248.937
1783750604.490255,248.937
1783750604.510399,248.937
1783750604.530545,249.462
1783750604.550688,249.462
1783750604.570920,249.462
1783750604.591043,249.462
1783750604.611186,249.462
1783750604.631334,249.431
1783750604.651486,249.431
1783750604.671654,249.431
1783750604.691797,249.431
1783750604.711941,249.431
1783750604.732092,249.584
1783750604.752237,249.584
1783750604.772375,249.584
1783750604.792520,249.584
1783750604.812668,249.584
1783750604.832816,249.573
1783750604.852955,249.573
1783750604.873106,249.573
1783750604.893251,249.573
1783750604.913396,249.573
1783750604.933534,249.227
1783750604.953676,249.227
1783750604.973821,249.227
1783750604.993975,249.227
1783750605.014111,249.227
1783750605.034256,248.956
1783750605.054399,248.956
1783750605.074549,248.956
1783750605.094692,248.956
1783750605.114874,248.956
1783750605.135020,247.588
1783750605.155144,247.588
1783750605.175287,247.588
1783750605.195428,247.588
1783750605.215574,247.684
1783750605.235766,247.684
1783750605.255912,247.684
1783750605.276049,247.684
1783750605.296198,247.684
1783750605.316349,247.626
1783750605.336498,247.626
1783750605.356674,247.626
1783750605.376826,247.626
1783750605.396975,247.626
1783750605.417125,247.602
1783750605.437269,247.602
1783750605.457419,247.602
1783750605.477564,247.602
1783750605.497718,247.602
1783750605.517920,248.298
1783750605.538069,248.298
1783750605.558216,248.298
1783750605.578370,248.298
1783750605.598514,248.298
1783750605.618659,248.661
1783750605.638809,248.661
1783750605.658963,248.661
1783750605.679106,248.661
1783750605.699250,248.661
1783750605.719400,248.656
1783750605.739554,248.656
1783750605.759700,248.656
1783750605.779886,248.656
1783750605.800038,248.656
1783750605.820187,248.838
1783750605.840333,248.838
1783750605.860474,248.838
1783750605.880626,248.838
1783750605.900777,248.838
1783750605.920926,248.914
1783750605.941071,248.914
1783750605.961249,248.914
1783750605.981395,248.914
1783750606.001549,248.914
1783750606.021692,248.802
1783750606.041874,248.802
1783750606.062022,248.802
1783750606.082173,248.802
1783750606.102276,248.802
